クラブ,名前,ポジション,生年月日,身長,体重
Ｃ大阪,鷹啄　トラビス,DF,2001/9/17,187,86
Ｃ大阪,喜田　陽,MF,2000/7/4,171,59
Ｃ大阪,上門　知樹,MF,1997/4/27,166,61
Ｃ大阪,香川　真司,MF,1989/3/17,175,68
Ｃ大阪,田中　駿汰,MF,1997/5/26,183,73
Ｃ大阪,横山　夢樹,MF,2005/9/23,172,67
Ｃ大阪,阪田　澪哉,MF,2004/5/11,170,64
Ｃ大阪,石渡　ネルソン,MF,2005/5/10,185,71
Ｃ大阪,本間　至恩,MF,2000/8/9,164,60
Ｃ大阪,久保　瑛史,MF,2007/9/2,180,73
Ｃ大阪,大迫　塁,MF,2004/10/13,177,69
Ｃ大阪,吉野　恭平,MF,1994/11/8,182,75
Ｃ大阪,塩尻　哲平,MF,2008/4/14,172,67
Ｃ大阪,柴山　昌也,MF,2002/7/2,161,59
Ｃ大阪,ルーカス　フェルナンデス,MF,1994/4/24,174,66
Ｃ大阪,櫻川　ソロモン,FW,2001/8/4,191,94
Ｃ大阪,チアゴ　アンドラーデ,FW,2000/10/31,180,68
Ｃ大阪,中島　元彦,FW,1999/4/18,171,71
Ｃ大阪,金本　毅騎,FW,2004/7/30,184,78
Ｃ大阪,永添　功樹,FW,2009/4/2,171,69
Ｃ大阪,イェンギ　クシニ,FW,1999/1/15,190,93
神戸,前川　黛也,GK,1994/9/8,191,86
神戸,新井　章太,GK,1988/11/1,185,85
神戸,ウボングリチャードマンデー,GK,2005/10/1,194,84
神戸,髙山　汐生,GK,2001/6/13,190,83
神戸,権田　修一,GK,1989/3/3,187,84
神戸,マテウス　トゥーレル,DF,1999/3/10,186,86
神戸,山川　哲史,DF,1997/10/1,186,79
神戸,ジエゴ,DF,1995/9/21,183,78
神戸,カエターノ,DF,1999/6/24,182,80
神戸,広瀬　陸斗,DF,1995/9/23,176,68
神戸,酒井　高徳,DF,1991/3/14,176,74
神戸,岩波　拓也,DF,1994/6/18,186,72
神戸,永戸　勝也,DF,1995/1/15,173,72
神戸,本間　ジャスティン,DF,2005/8/26,181,79
神戸,山田　海斗,DF,2006/8/31,192,70
神戸,入江　羚介,DF,2004/11/5,183,76
神戸,ンドカ　ボニフェイス,DF,1996/2/15,183,89
神戸,飯野　七聖,MF,1996/10/2,173,65
神戸,郷家　友太,MF,1999/6/10,183,74
神戸,扇原　貴宏,MF,1991/10/5,185,74
神戸,井手口　陽介,MF,1996/8/23,171,71
神戸,乾　貴士,MF,1988/6/2,169,63
神戸,井出　遥也,MF,1994/3/25,171,66
神戸,鍬先　祐弥,MF,1998/5/15,175,72
神戸,濱﨑　健斗,MF,2007/6/16,165,60
神戸,山内　翔,MF,2002/1/6,177,74
神戸,橋本　陸斗,MF,2005/4/2,170,69
神戸,浦　十藏,MF,2004/5/21,169,62
神戸,日髙　光揮,MF,2003/5/11,177,72
神戸,瀬口　大翔,MF,2008/1/10,176,71
神戸,大西　湊太,MF,2007/4/12,172,63
神戸,浅田　連,MF,2010/6/10,171,63
神戸,花元　誉絆,MF,2010/11/1,166,61
神戸,里見　汰福,MF,2009/4/20,171,73
神戸,大迫　勇也,FW,1990/5/18,184,75
神戸,武藤　嘉紀,FW,1992/7/15,179,72
神戸,佐々木　大樹,FW,1999/9/17,180,77
神戸,満田　誠,FW,1999/7/20,170,63
神戸,ジェアン　パトリッキ,FW,1997/5/14,175,70
神戸,小松　蓮,FW,1998/9/10,183,77
神戸,冨永　虹七,FW,2004/7/18,176,73
神戸,内野　航太郎,FW,2004/6/19,186,78
神戸,相澤　デイビッド,FW,2003/8/2,195,94
神戸,伊藤　湊太,FW,2007/9/24,186,75
神戸,渡辺　隼斗,FW,2007/4/6,179,78
神戸,宮原　勇太,FW,2005/4/7,174,71
神戸,川端　彪英,FW,2008/4/4,178,73
岡山,レナート　モーザー,GK,1999/12/6,196,93
岡山,松田　駿,GK,2007/5/22,185,73
岡山,濵田　太郎,GK,2000/2/21,189,90
岡山,川浪　吾郎,GK,1991/4/30,192,85
岡山,工藤　孝太,DF,2003/8/13,180,77
岡山,阿部　海大,DF,1999/9/18,183,80
岡山,大森　博,DF,2002/9/10,188,82
岡山,田上　大地,DF,1993/6/16,180,79
岡山,本山　遥,DF,1999/6/5,172,71
岡山,千田　遼,DF,2007/9/20,174,69
岡山,鈴木　喜丈,DF,1998/7/6,183,80
岡山,立田　悠悟,DF,1998/6/21,191,83
岡山,白井　康介,DF,1994/5/1,166,63
岡山,藤井　葉大,DF,2006/1/16,180,78
岡山,藤井　海和,MF,2003/2/15,173,71
岡山,小倉　幸成,MF,2005/4/9,167,67
岡山,竹内　涼,MF,1991/3/8,173,67
岡山,江坂　任,MF,1992/5/31,175,67
岡山,田部井　涼,MF,1999/6/25,172,68
岡山,末吉　塁,MF,1996/7/26,166,64
岡山,藤田　息吹,MF,1991/1/30,170,68
岡山,木村　太哉,MF,1998/7/8,175,71
岡山,松本　昌也,MF,1995/1/25,175,69
岡山,バイゴリア　ユウト,MF,2006/8/18,172,71
岡山,神谷　優太,MF,1997/4/24,174,67
岡山,宮本　英治,MF,1998/8/3,173,69
岡山,ブラウン　ノア　賢信,MF,2001/5/27,189,80
岡山,西川　潤,MF,2002/2/21,180,70
岡山,山根　永遠,MF,1999/2/5,167,73
岡山,レオ　ガウショ,FW,2001/8/3,187,81
岡山,一美　和成,FW,1997/11/10,182,81
岡山,末宗　寛士郎,FW,2007/6/10,174,65
岡山,髙橋　旺良,FW,2006/3/1,183,75
岡山,河野　孝汰,FW,2003/8/12,177,73
岡山,ウェリック　ポポ,FW,2001/10/17,190,94
岡山,ルカオ,FW,1995/9/22,191,96
広島,大迫　敬介,GK,1999/7/28,190,88
広島,田中　雄大,GK,1995/11/17,187,78
広島,ヒル　袈依廉,GK,2002/7/9,194,92
広島,小川　煌,GK,2007/6/24,192,79
広島,大内　一生,GK,2000/9/8,186,82
広島,山﨑　大地,DF,2001/1/8,184,82
広島,荒木　隼人,DF,1996/8/7,186,78
広島,新井　直人,DF,1996/10/7,173,73
広島,中野　就斗,DF,2000/6/27,183,83
広島,志知　孝明,DF,1993/12/27,177,70
広島,佐々木　翔,DF,1989/10/2,177,70
広島,塩谷　司,DF,1988/12/5,182,81
広島,キム　ジュソン,DF,2000/12/12,189,83
広島,森井　莉人,DF,2009/1/17,194,71
広島,太田　大翔,DF,2008/4/8,182,67
広島,川辺　駿,MF,1995/9/8,180,72
広島,松本　泰志,MF,1998/8/22,180,70
広島,菅　大輝,MF,1998/9/10,171,78
広島,東　俊希,MF,2000/7/28,180,70
広島,茶島　雄介,MF,1991/7/20,166,60
広島,トルガイ　アルスラン,MF,1990/8/16,180,78
広島,越道　草太,MF,2004/4/3,181,75
広島,中島　洋太朗,MF,2006/4/22,175,68
広島,小原　基樹,MF,2000/3/9,170,63
広島,小林　志紋,MF,2008/1/23,167,60
広島,野口　蓮斗,MF,2008/4/20,171,61
広島,ジャーメイン　良,FW,1995/4/19,182,82
広島,鈴木　章斗,FW,2003/7/30,180,76
広島,加藤　陸次樹,FW,1997/8/6,180,72
広島,木下　康介,FW,1994/10/3,190,85
広島,鮎川　峻,FW,2001/9/15,165,65
広島,中村　草太,FW,2002/10/15,168,64
広島,前田　直輝,FW,1994/11/17,177,72
広島,髙橋　成海,FW,2009/5/17,187,75
福岡,松山　健太,GK,1998/11/17,189,85
福岡,小畑　裕馬,GK,2001/11/7,185,80
福岡,藤田　和輝,GK,2001/2/19,186,85
福岡,オビ　パウエル　オビンナ,GK,1997/12/18,193,87
福岡,湯澤　聖人,DF,1993/10/10,180,74
福岡,奈良　竜樹,DF,1993/9/19,180,74
福岡,上島　拓巳,DF,1997/2/5,186,86
福岡,辻岡　佑真,DF,2001/12/9,183,83
福岡,岡　哲平,DF,2001/9/6,186,83
福岡,キム　ムンヒョン,DF,2002/5/17,185,76
福岡,前嶋　洋太,DF,1997/8/12,178,67
福岡,山脇　樺織,DF,2000/12/17,179,71
福岡,田代　雅也,DF,1993/5/1,185,80
福岡,池田　樹雷人,DF,1996/9/17,186,82
福岡,宮　大樹,DF,1996/4/1,186,82
福岡,橋本　悠,DF,2002/6/7,171,64
福岡,坂井　悠飛,DF,2004/10/5,180,77
福岡,藤川　虎三,DF,2008/7/29,183,82
福岡,重見　柾斗,MF,2001/9/20,171,64
福岡,奥野　耕平,MF,2000/4/3,176,68
福岡,見木　友哉,MF,1998/3/28,172,67
福岡,名古　新太郎,MF,1996/4/17,168,64
福岡,秋野　央樹,MF,1994/10/8,176,68
福岡,北島　祐二,MF,2000/8/4,169,67
福岡,椎橋　慧也,MF,1997/6/20,178,75
福岡,福島　和毅,MF,2007/4/27,162,61
福岡,武本　匠平,MF,2008/5/26,176,72
福岡,前田　陽輝,MF,2008/10/25,171,71
福岡,前田　快,MF,2004/7/1,177,71
福岡,碓井　聖生,FW,2001/7/20,183,75
福岡,シャハブ　ザヘディ,FW,1995/8/18,187,78
福岡,城後　寿,FW,1986/4/16,183,77
福岡,ナッシム　ベン　カリファ,FW,1992/1/13,184,80
福岡,佐藤　颯之介,FW,2003/7/6,175,70
福岡,藤本　一輝,FW,1998/7/29,180,70
福岡,道脇　豊,FW,2006/4/5,190,78
福岡,鶴野　怜樹,FW,2001/1/26,168,62
福岡,サニブラウン　ハナン,FW,2006/7/3,187,80
福岡,前田　一翔,FW,2006/6/16,175,76
福岡,北浜　琉星,FW,2004/7/15,180,75
長崎,後藤　雅明,GK,1994/5/24,191,83
長崎,波多野　豪,GK,1998/5/25,198,100
長崎,井岡　海都,GK,1998/4/27,186,79
長崎,ルカ　ラドティッチ,GK,2000/7/17,199,93
長崎,関口　正大,DF,1998/4/21,172,66
長崎,エドゥアルド,DF,1993/4/27,184,84
長崎,江川　湧清,DF,2000/10/24,175,67
長崎,高畑　奎汰,DF,2000/9/16,176,68
長崎,米田　隼也,DF,1995/11/5,175,72
長崎,櫛引　一紀,DF,1993/2/12,182,82
長崎,新井　一耀,DF,1993/11/8,186,81
長崎,佐々木　奈琉,DF,2003/7/13,170,62
長崎,ノ　ヒョンジュン,DF,2007/7/19,180,79
長崎,照山　颯人,DF,2000/8/28,184,75
長崎,進藤　亮佑,DF,1996/6/7,183,74
長崎,山口　蛍,MF,1990/10/6,173,72
長崎,岩崎　悠人,MF,1998/6/11,173,72
長崎,マテウス　ジェズス,MF,1997/4/10,187,80
長崎,名倉　巧,MF,1998/6/3,168,61
長崎,エメルソン,MF,1999/7/27,174,69
長崎,澤田　崇,MF,1991/5/26,170,63
長崎,中村　慶太,MF,1993/6/30,178,73
長崎,ディエゴ　ピトゥカ,MF,1992/8/15,178,72
長崎,翁長　聖,MF,1995/2/23,171,68
長崎,山田　陸,MF,1998/4/15,175,77
長崎,笠柳　翼,MF,2003/6/24,175,63
長崎,松本　天夢,MF,2002/9/28,169,59
長崎,長谷川　元希,MF,1998/12/10,177,70
長崎,鍋島　暖歩,MF,2004/2/21,168,62
長崎,チアゴ　サンタナ,FW,1993/2/4,184,80
長崎,ノーマン　キャンベル,FW,1999/11/24,175,71
長崎,山﨑　凌吾,FW,1992/9/20,187,82
長崎,洪　怜鎭,FW,2003/8/26,176,73
札幌,菅野　孝憲,GK,1984/5/3,179,75
札幌,田川　知樹,GK,2002/9/18,180,78
札幌,唯野　鶴眞,GK,2007/5/28,193,90
札幌,高木　駿,GK,1989/5/22,181,76
札幌,髙尾　瑠,DF,1996/11/9,181,67
札幌,パク　ミンギュ,DF,1995/8/10,177,67
札幌,中村　桐耶,DF,2000/7/23,186,78
札幌,福森　晃斗,DF,1992/12/16,183,81
札幌,家泉　怜依,DF,2000/1/20,185,85
札幌,内田　瑞己,DF,1999/9/11,170,71
札幌,大﨑　玲央,DF,1991/8/7,187,82
札幌,岡田　大和,DF,2001/6/17,180,78
札幌,徳差　優利,DF,2008/10/2,174,69
札幌,川原　颯斗,DF,2003/10/2,175,67
札幌,西野　奨太,DF,2004/5/28,181,79
札幌,浦上　仁騎,DF,1996/11/11,178,76
札幌,梅津　龍之介,DF,2004/6/30,182,75
札幌,大澤　忠臣,DF,2009/2/28,180,75
札幌,スパチョーク,MF,1998/5/22,169,66
札幌,宮澤　裕樹,MF,1989/6/28,182,76
札幌,青木　亮太,MF,1996/3/6,174,72
札幌,堀米　勇輝,MF,1992/12/13,168,63
札幌,田中　克幸,MF,2002/3/15,175,70
札幌,長谷川　竜也,MF,1994/3/7,164,60
札幌,木戸　柊摩,MF,2003/1/2,170,63
札幌,ティラパット,MF,2007/2/17,175,65
札幌,荒野　拓馬,MF,1993/4/20,180,76
札幌,田中　宏武,MF,1999/4/15,174,68
札幌,堀米　悠斗,MF,1994/9/9,168,67
札幌,原　康介,MF,2005/8/3,170,65
札幌,笹原　悠,MF,2008/9/20,172,67
札幌,渋谷　優里,MF,2008/12/9,171,67
札幌,多田　蒼生,MF,2008/12/25,179,71
札幌,マリオ　セルジオ,FW,1995/9/2,181,75
札幌,アマドゥ　バカヨコ,FW,1996/1/1,190,80
札幌,キングロード　サフォ,FW,2002/1/9,178,84
札幌,大森　真吾,FW,2001/2/9,181,77
札幌,佐藤　陽成,FW,2003/9/3,170,64
札幌,白井　陽斗,FW,1999/10/23,172,63
八戸,吉村　耕一,GK,2003/6/20,187,81
八戸,大西　勝俉,GK,1990/7/29,184,90
八戸,谷口　裕介,GK,1995/8/11,185,81
八戸,平松　航,DF,2000/5/9,182,74
八戸,澤田　雄大,DF,1999/4/17,182,78
八戸,鈴木　慎之介,DF,2003/5/7,180,76
八戸,稲積　大介,DF,1997/5/8,172,68
八戸,雪江　悠人,DF,1996/6/9,175,75
八戸,速水　修平,DF,2000/11/11,182,78
八戸,本多　康太郎,DF,2006/5/20,188,82
八戸,白井　陽貴,DF,2000/10/5,182,77
八戸,鵜木　郁哉,MF,2001/7/4,168,66
八戸,佐藤　碧,MF,1997/9/25,171,63
八戸,音泉　翔眞,MF,1996/7/7,174,74
八戸,脇坂　崚平,MF,1998/12/27,174,67
八戸,鏑木　瑞生,MF,2000/5/28,173,69
八戸,佐藤　祐太,MF,1995/5/13,170,64
八戸,栗澤　陸,MF,2003/7/31,168,61
八戸,高橋　耕平,MF,1999/9/20,172,70
八戸,田中　翼冴,MF,2007/7/18,170,68
八戸,高吉　正真,MF,2000/8/25,176,70
八戸,永田　一真,MF,2000/4/26,174,72
八戸,髙尾　流星,FW,2003/11/20,180,74
八戸,澤上　竜二,FW,1993/10/8,181,77
八戸,井波　勇太,FW,2002/8/29,175,72
八戸,イスマイラ,FW,1998/8/4,188,76
八戸,中野　誠也,FW,1995/7/23,173,69
仙台,堀田　大暉,GK,1994/10/5,183,81
仙台,松澤　香輝,GK,1992/4/3,183,82
仙台,林　彰洋,GK,1987/5/7,195,92
仙台,渡邊　航聖,GK,2008/6/26,180,72
仙台,髙橋　一平,GK,2003/10/2,191,87
仙台,五十嵐　聖己,DF,2002/4/13,177,75
仙台,奥山　政幸,DF,1993/7/28,173,70
仙台,菅田　真啓,DF,1997/6/28,183,77
仙台,マテウス　モラエス,DF,2001/3/6,188,80
仙台,髙田　椋汰,DF,2000/6/10,174,72
仙台,永井　大義,DF,2007/11/19,185,78
仙台,石井　隼太,DF,2001/7/6,173,70
仙台,井上　詩音,DF,2000/4/25,184,77
仙台,韓　浩康,DF,1993/9/18,186,80
仙台,湯谷　杏吏,MF,2002/7/8,180,75
仙台,松井　蓮之,MF,2000/2/27,178,73
仙台,武田　英寿,MF,2001/9/15,178,68
仙台,鎌田　大夢,MF,2001/6/23,168,60
仙台,相良　竜之介,MF,2002/8/17,172,67
仙台,南　創太,MF,2006/6/15,171,62
仙台,工藤　蒼生,MF,2000/5/31,168,66
仙台,有田　恵人,MF,2002/1/24,171,61
仙台,横山　颯大,MF,2006/5/30,168,65
仙台,岩渕　弘人,MF,1997/9/17,177,73
仙台,杉山　耀建,MF,2003/11/8,174,68
仙台,荒木　駿太,FW,1999/10/24,170,66
仙台,宮崎　鴻,FW,1999/8/5,184,82
仙台,小林　心,FW,2000/9/29,177,73
仙台,梅木　翼,FW,1998/11/24,183,75
仙台,中田　有祐,FW,2004/6/5,190,86
仙台,西丸　道人,FW,2005/6/15,169,70
仙台,古屋　歩夢,FW,2007/5/9,176,79
仙台,安野　匠,FW,2006/4/8,174,65
秋田,山田　元気,GK,1994/12/16,187,84
秋田,矢田貝　壮貴,GK,1998/6/11,184,85
秋田,堀内　智葵,GK,2006/12/17,184,82
秋田,岡﨑　亮平,DF,1992/4/25,185,78
秋田,飯泉　涼矢,DF,1995/12/28,181,80
秋田,岡野　洵,DF,1997/12/9,187,83
秋田,長井　一真,DF,1998/11/2,180,77
秋田,才藤　龍治,DF,1993/3/12,177,73
秋田,野々村　鷹人,DF,1998/5/13,183,85
秋田,高橋　秀典,DF,1998/7/18,174,75
秋田,長谷川　巧,DF,1998/10/6,179,71
秋田,畑橋　拓輝,DF,2002/8/4,184,80
秋田,諸岡　裕人,MF,1997/1/4,168,68
秋田,水谷　拓磨,MF,1996/4/24,162,62
秋田,中村　亮太,MF,1991/1/28,178,78
秋田,大石　竜平,MF,1997/1/21,169,67
秋田,吉岡　雅和,MF,1995/3/9,163,59
秋田,藤山　智史,MF,1994/4/23,168,66
秋田,石田　凌太郎,MF,2001/12/13,176,72
秋田,土井　紅貴,MF,2002/4/9,176,74
秋田,中野　嘉大,MF,1993/2/24,176,66
秋田,梅田　魁人,FW,1997/5/15,179,80
秋田,佐藤　大樹,FW,1999/4/23,178,75
秋田,佐川　洸介,FW,2000/5/11,187,90
秋田,半田　航也,FW,1998/9/27,180,75
秋田,鈴木　翔大,FW,1993/4/3,180,79
秋田,西村　真祈,FW,2001/11/3,180,78
山形,トーマス　ヒュワード　ベル,GK,1997/3/11,190,81
山形,長谷川　洸,GK,1995/5/16,183,85
山形,上林　大誠,GK,2006/2/21,184,79
山形,渋谷　飛翔,GK,1995/1/27,189,89
山形,イ　ドンヒ,DF,2000/2/7,186,83
山形,熊本　雄太,DF,1995/7/18,186,83
山形,西村　慧祐,DF,1998/2/19,187,81
山形,山田　拓巳,DF,1989/11/25,170,67
山形,野嶽　寛也,DF,2000/12/3,173,66
山形,川井　歩,DF,1999/8/12,177,66
山形,岡本　一真,DF,2003/9/19,175,70
山形,城和　隼颯,DF,1998/8/25,187,88
山形,相馬　丞,DF,2001/6/15,182,76
山形,坂本　稀吏也,DF,2003/4/23,184,78
山形,中村　亮太朗,MF,1997/9/27,179,70
山形,土居　聖真,MF,1992/5/21,172,63
山形,氣田　亮真,MF,1997/8/12,172,66
山形,柳町　魁耀,MF,2002/5/7,175,68
山形,寺山　翼,MF,2000/4/10,180,78
山形,横山　塁,MF,1999/9/30,180,68
山形,吉尾　海夏,MF,1998/6/28,169,66
山形,田中　渉,MF,2000/9/23,169,65
山形,田中　祉同,MF,2003/5/22,168,65
山形,平賀　大空,MF,2005/3/2,173,71
山形,國分　伸太郎,MF,1994/8/31,172,66
山形,榎本　啓吾,MF,1999/9/5,165,62
山形,竹ノ谷　優駕スベディ,MF,2007/12/27,178,64
山形,タリソン　アウベス,MF,1999/3/2,183,78
山形,高橋　潤哉,FW,1997/5/28,178,78
山形,ディサロ　燦シルヴァーノ,FW,1996/4/2,175,72
山形,堀金　峻明,FW,2002/12/25,182,79
いわき,加藤　有輝,GK,1997/9/20,188,81
いわき,松本　崚汰,GK,2002/10/25,184,79
いわき,佐々木　雅士,GK,2002/5/1,185,79
いわき,ジュ　ヒョンジン,GK,2005/2/6,190,84
いわき,遠藤　凌,DF,1998/7/6,183,76
いわき,堂鼻　起暉,DF,1998/12/5,177,75
いわき,桒田　大誠,DF,2002/8/26,185,84
いわき,中野　陽斗,DF,2007/5/6,180,73
いわき,坂本　光,DF,2004/3/17,183,78
いわき,ヒョン　ウビン,DF,2006/1/17,190,81
いわき,深港　壮一郎,DF,2000/8/12,179,76
いわき,今野　息吹,MF,2001/5/10,179,70
いわき,中島　舜,MF,2002/4/8,173,67
いわき,柴田　壮介,MF,2001/5/26,168,64
いわき,村上　陽斗,MF,2002/7/17,174,67
いわき,山口　大輝,MF,1997/11/2,175,68
いわき,荒木　仁翔,MF,2007/8/2,170,68
いわき,チョン　ソホ,MF,2007/6/8,180,70
いわき,大氏　凜州,MF,2003/5/14,169,66
いわき,高橋　勇利也,MF,1999/3/24,181,76
いわき,山中　惇希,MF,2001/5/6,174,68
いわき,久永　瑠音,MF,2004/3/4,175,72
いわき,木吹　翔太,MF,2006/8/19,203,90
いわき,永木　亮太,MF,1988/6/4,175,67
いわき,松本　琉雅,MF,2004/9/30,175,73
いわき,西谷　亮,FW,2004/1/10,180,69
いわき,加藤　大晟,FW,2002/9/6,184,81
いわき,坂元　一渚璃,FW,2004/11/22,184,68
いわき,田中　幹大,FW,2003/7/22,183,72
いわき,オウイエ　ウイリアム,FW,2004/4/19,190,80
いわき,熊田　直紀,FW,2004/8/2,181,79
栃木Ｃ,原田　欽庸,GK,1986/5/17,183,79
栃木Ｃ,児玉　潤,GK,1997/9/8,175,70
栃木Ｃ,奥原　崇陽,GK,2008/2/8,184,75
栃木Ｃ,相澤　ピーターコアミ,GK,2001/1/20,193,89
栃木Ｃ,奥井　諒,DF,1990/3/7,169,65
栃木Ｃ,佐藤　喜生,DF,1997/11/6,184,75
栃木Ｃ,知念　哲矢,DF,1997/11/8,180,72
栃木Ｃ,鈴木　裕斗,DF,2000/5/5,170,60
栃木Ｃ,小西　慶太郎,DF,2002/4/6,177,76
栃木Ｃ,小池　裕太,DF,1996/11/6,172,68
栃木Ｃ,乾　貴哉,DF,1996/5/12,187,73
栃木Ｃ,薩川　淳貴,DF,1997/8/12,170,62
栃木Ｃ,マテイ　ヨニッチ,DF,1991/1/29,187,83
栃木Ｃ,加藤　丈,MF,1998/9/14,162,65
栃木Ｃ,森　俊貴,MF,1997/8/29,178,71
栃木Ｃ,岡庭　裕貴,MF,1995/1/3,172,70
栃木Ｃ,表原　玄太,MF,1996/2/28,167,67
栃木Ｃ,大嶌　貴,MF,2000/10/18,169,63
栃木Ｃ,加藤　大,MF,1991/5/7,175,72
栃木Ｃ,ペドロ　アウグスト,MF,1997/3/3,181,71
栃木Ｃ,宇都木　峻,MF,1996/9/21,178,71
栃木Ｃ,下田　栄祐,MF,2004/5/5,178,77
栃木Ｃ,山下　敬大,FW,1996/3/13,185,81
栃木Ｃ,鈴木　武蔵,FW,1994/2/11,185,75
栃木Ｃ,小竹　知恩,FW,2006/4/14,181,80
栃木Ｃ,ダヴィド　モーベルグ,FW,1994/3/20,179,74
栃木Ｃ,吉田　篤志,FW,1999/4/7,182,76
栃木Ｃ,西谷　和希,FW,1993/10/5,165,65
栃木Ｃ,齋藤　恵太,FW,1993/3/31,181,75
栃木Ｃ,田中　パウロ淳一,FW,1993/10/23,169,68
栃木Ｃ,升掛　友護,FW,2003/8/24,175,68
栃木Ｃ,平岡　将豪,FW,1995/5/12,174,74
大宮,笠原　昂史,GK,1988/11/21,191,91
大宮,トム　グローバー,GK,1997/12/24,197,94
大宮,志村　滉,GK,1996/4/27,186,80
大宮,若林　学歩,GK,2004/3/10,196,88
大宮,加藤　聖,DF,2001/9/16,169,68
大宮,ガブリエウ,DF,1995/3/14,180,81
大宮,イヨハ　理　ヘンリー,DF,1998/6/23,182,82
大宮,尾崎　優成,DF,2003/7/26,186,82
大宮,茂木　力也,DF,1996/9/27,176,73
大宮,熊田　佳斗,DF,2009/9/5,185,80
大宮,村上　陽介,DF,2002/2/4,184,80
大宮,関口　凱心,DF,2001/9/24,180,73
大宮,木寺　優直,DF,2008/9/12,179,65
大宮,井芹　響輔,DF,2009/4/29,171,62
大宮,西尾　隆矢,DF,2001/5/16,182,86
大宮,石川　俊輝,MF,1991/7/10,174,70
大宮,小島　幹敏,MF,1996/9/17,178,73
大宮,カウアン　ディニース,MF,2004/3/7,186,75
大宮,泉　柊椰,MF,2000/12/2,174,66
大宮,中山　昂大,MF,2002/7/6,187,80
大宮,加藤　玄,MF,2003/4/15,183,79
大宮,神田　泰斗,MF,2008/5/7,180,69
大宮,松井　匠,MF,2003/11/21,174,74
大宮,和田　拓也,MF,1990/7/28,170,68
大宮,小林　柚希,MF,2008/4/13,175,68
大宮,エドワード　真秀,MF,2008/7/21,181,77
大宮,豊川　雄太,FW,1994/9/9,171,68
大宮,カプリーニ,FW,1997/11/11,170,76
大宮,日髙　元,FW,2007/11/13,165,63
大宮,杉本　健勇,FW,1992/11/18,188,80
大宮,中島　大翔,FW,2008/10/16,165,57
大宮,山本　桜大,FW,2004/6/4,175,70
大宮,磯﨑　麻玖,FW,2006/5/26,192,85
大宮,マギー　ジェラニー　蓮,FW,2008/12/24,186,86
大宮,オリオラ　サンデー,FW,2003/4/18,178,75
横浜FC,市川　暉記,GK,1998/10/19,190,86
横浜FC,ヤクブ　スウォビィク,GK,1991/8/31,190,85
横浜FC,西方　瑛太郎,GK,2010/2/15,185,78
横浜FC,石井　僚,GK,2000/7/11,191,84
横浜FC,山岸　克斗,GK,2008/8/16,188,86
横浜FC,鈴木　準弥,DF,1996/1/7,176,71
横浜FC,細井　響,DF,2003/10/31,183,77
横浜FC,伊藤　槙人,DF,1992/10/18,183,76
横浜FC,杉田　隼,DF,2004/1/9,179,65
横浜FC,岩武　克弥,DF,1996/6/4,175,70
横浜FC,秦　樹,DF,2007/5/1,182,70
横浜FC,新保　海鈴,DF,2002/8/16,171,64
横浜FC,佐藤　颯真,DF,2003/11/3,183,72
横浜FC,山田　康太,MF,1999/7/10,175,68
横浜FC,小倉　陽太,MF,2001/5/3,183,78
横浜FC,窪田　稜,MF,2001/1/5,171,68
横浜FC,高塩　隼生,MF,2004/6/3,170,63
横浜FC,村田　透馬,MF,2000/7/22,173,64
横浜FC,向井　俊貴,MF,2004/4/13,182,68
横浜FC,横山　暁之,MF,1997/3/26,171,65
横浜FC,熊倉　弘貴,MF,2002/5/16,174,70
横浜FC,宇田　光史朗,MF,2004/9/26,182,72
横浜FC,遠藤　貴成,MF,2002/10/19,172,67
横浜FC,福岡　湧大,MF,2008/5/15,165,59
横浜FC,髙江　麗央,MF,1998/6/27,171,71
横浜FC,岩崎　亮佑,MF,2008/1/30,174,68
横浜FC,ルキアン,FW,1991/9/21,183,87
横浜FC,ジョアン　パウロ,FW,1996/11/28,179,73
横浜FC,室井　彗佑,FW,2000/4/17,170,65
横浜FC,森　海渡,FW,2000/6/7,185,80
横浜FC,前田　勘太朗,FW,2007/7/10,177,67
横浜FC,齋藤　翔,FW,2009/2/23,174,69
横浜FC,駒沢　直哉,FW,2002/5/17,178,79
横浜FC,アダイウトン,FW,1990/12/6,176,83
湘南,永井　建成,GK,1995/7/7,185,84
湘南,真田　幸太,GK,1999/4/21,190,88
湘南,岩瀬　陽,GK,2003/10/15,185,85
湘南,上福元　直人,GK,1989/11/17,182,76
湘南,松村　晟怜,DF,2003/12/3,184,75
湘南,袴田　裕太郎,DF,1996/6/24,183,77
湘南,舘　幸希,DF,1997/12/14,173,73
湘南,大野　和成,DF,1989/8/4,180,77
湘南,下口　稚葉,DF,1998/5/2,178,75
湘南,髙橋　直也,DF,2001/5/28,181,72
湘南,蓑田　広大,DF,1999/8/10,180,74
湘南,松本　果成,DF,2007/1/19,182,75
湘南,福島　隼斗,DF,2000/4/26,178,75
湘南,保田　成琉,DF,2004/8/3,180,76
湘南,松村　秀明,DF,2008/6/19,180,67
湘南,柴田　徹,DF,2001/2/18,173,65
湘南,岡庭　愁人,DF,1999/9/16,171,65
湘南,松本　大弥,MF,2000/8/10,180,79
湘南,武田　将平,MF,1994/4/4,181,73
湘南,小野瀬　康介,MF,1993/4/22,178,69
湘南,藤井　智也,MF,1998/12/4,173,68
湘南,アルトゥール　シルバ,MF,1995/4/26,180,84
