チーム名,ポジション,名前,生年月日,身長,体重
オリックス・バファローズ,投手,山﨑　颯一郎,1998.06.15,190,93
オリックス・バファローズ,投手,九里　亜蓮,1991.09.01,188,98
オリックス・バファローズ,投手,吉田　輝星,2001.01.12,175,83
オリックス・バファローズ,投手,齋藤　響介,2004.11.18,178,77
オリックス・バファローズ,投手,富山　凌雅,1997.05.03,178,88
オリックス・バファローズ,投手,田嶋　大樹,1996.08.03,182,82
オリックス・バファローズ,投手,藤川　敦也,2007.10.23,183,93
オリックス・バファローズ,投手,古田島　成龍,1999.06.29,175,85
オリックス・バファローズ,投手,森　陽樹,2007.08.01,190,90
オリックス・バファローズ,投手,岩嵜　翔,1989.10.21,189,98
オリックス・バファローズ,投手,佐藤　龍月,2007.07.13,173,75
オリックス・バファローズ,投手,マチャド,1993.04.22,185,105
オリックス・バファローズ,投手,髙谷　舟,2003.07.27,178,83
オリックス・バファローズ,投手,山口　廉王,2006.05.14,193,97
オリックス・バファローズ,投手,東松　快征,2005.04.29,179,86
オリックス・バファローズ,投手,片山　楽生,2002.10.07,177,81
オリックス・バファローズ,投手,横山　楓,1997.12.28,181,91
オリックス・バファローズ,投手,山田　修義,1991.09.19,185,95
オリックス・バファローズ,投手,ペルドモ,1993.05.09,188,84
オリックス・バファローズ,投手,宮國　凌空,2005.08.07,176,86
オリックス・バファローズ,投手,博志,1997.03.22,182,95
オリックス・バファローズ,投手,入山　海斗,2000.05.26,177,78
オリックス・バファローズ,投手,ジェリー,1997.05.07,213,113
オリックス・バファローズ,投手,佐藤　一磨,2001.04.16,190,97
オリックス・バファローズ,投手,川瀬　堅斗,2002.06.18,183,93
オリックス・バファローズ,投手,才木　海翔,2000.06.10,182,86
オリックス・バファローズ,投手,髙島　泰都,1999.12.03,181,88
オリックス・バファローズ,投手,権田　琉成,2000.01.28,180,90
オリックス・バファローズ,捕手,若月　健矢,1995.10.04,180,88
オリックス・バファローズ,捕手,森　友哉,1995.08.08,170,85
オリックス・バファローズ,捕手,福永　奨,1999.07.28,175,87
オリックス・バファローズ,捕手,石川　亮,1995.07.20,181,87
オリックス・バファローズ,捕手,頓宮　裕真,1996.11.17,182,103
オリックス・バファローズ,捕手,山中　稜真,2000.12.14,178,83
オリックス・バファローズ,捕手,野上　士耀,2007.05.23,170,80
オリックス・バファローズ,捕手,堀　柊那,2005.07.16,179,82
オリックス・バファローズ,内野手,太田　椋,2001.02.14,181,84
オリックス・バファローズ,内野手,西野　真弘,1990.08.02,167,71
オリックス・バファローズ,内野手,宗　佑磨,1996.06.07,181,83
オリックス・バファローズ,内野手,野口　智哉,1999.09.20,181,95
オリックス・バファローズ,内野手,大城　滉二,1993.06.14,175,80
オリックス・バファローズ,内野手,紅林　弘太郎,2002.02.07,188,95
オリックス・バファローズ,内野手,内藤　鵬,2004.10.05,180,103
オリックス・バファローズ,内野手,廣岡　大志,1997.04.09,185,92
オリックス・バファローズ,内野手,横山　聖哉,2005.10.28,181,86
オリックス・バファローズ,内野手,シーモア,1998.10.07,191,113
オリックス・バファローズ,内野手,宜保　翔,2000.11.26,175,75
オリックス・バファローズ,内野手,中川　圭太,1996.04.12,180,76
オリックス・バファローズ,外野手,渡部　遼人,1999.09.02,171,72
オリックス・バファローズ,外野手,西川　龍馬,1994.12.10,178,83
オリックス・バファローズ,外野手,麦谷　祐介,2002.07.27,180,81
オリックス・バファローズ,外野手,杉澤　龍,2000.06.02,175,80
オリックス・バファローズ,外野手,来田　涼斗,2002.10.16,182,88
オリックス・バファローズ,外野手,池田　陵真,2003.08.24,171,83
オリックス・バファローズ,外野手,窪田　洋祐,2007.07.31,185,87
オリックス・バファローズ,外野手,平沼　翔太,1997.08.16,179,83
オリックス・バファローズ,外野手,杉本　裕太郎,1991.04.05,190,104
千葉ロッテマリーンズ,監督,サブロー,1976.06.01,,
千葉ロッテマリーンズ,投手,カスティーヨ,1996.01.10,198,114
千葉ロッテマリーンズ,投手,毛利　海大,2003.09.14,177,77
千葉ロッテマリーンズ,投手,小島　和哉,1996.07.07,178,85
千葉ロッテマリーンズ,投手,横山　陸人,2001.08.05,180,90
千葉ロッテマリーンズ,投手,種市　篤暉,1998.09.07,183,88
千葉ロッテマリーンズ,投手,石垣　元気,2007.08.16,180,78
千葉ロッテマリーンズ,投手,唐川　侑己,1989.07.05,181,90
千葉ロッテマリーンズ,投手,石川　柊太,1991.12.27,185,88
千葉ロッテマリーンズ,投手,東妻　勇輔,1996.04.04,172,80
千葉ロッテマリーンズ,投手,菊地　吏玖,2000.06.13,183,93
千葉ロッテマリーンズ,投手,西野　勇士,1991.03.06,183,90
千葉ロッテマリーンズ,投手,廣畑　敦也,1997.12.03,175,83
千葉ロッテマリーンズ,投手,大谷　輝龍,2000.07.11,180,81
千葉ロッテマリーンズ,投手,八木　彬,1997.05.26,180,94
千葉ロッテマリーンズ,投手,高野　脩汰,1998.08.13,184,88
千葉ロッテマリーンズ,投手,田中　晴也,2004.06.06,186,92
千葉ロッテマリーンズ,投手,坂本　光士郎,1994.09.09,179,80
千葉ロッテマリーンズ,投手,小野　郁,1996.10.23,175,78
千葉ロッテマリーンズ,投手,奥村　頼人,2007.09.08,179,83
千葉ロッテマリーンズ,投手,一條　力真,2003.02.10,190,90
千葉ロッテマリーンズ,投手,ジャクソン,1996.05.01,190,95
千葉ロッテマリーンズ,投手,冨士　隼斗,2002.03.10,180,86
千葉ロッテマリーンズ,投手,鈴木　昭汰,1998.09.07,175,80
千葉ロッテマリーンズ,投手,益田　直也,1989.10.25,179,80
千葉ロッテマリーンズ,投手,木村　優人,2005.06.01,184,92
千葉ロッテマリーンズ,投手,澤田　圭佑,1994.04.27,178,96
千葉ロッテマリーンズ,投手,中森　俊介,2002.05.29,183,90
千葉ロッテマリーンズ,投手,河村　説人,1997.06.18,192,87
千葉ロッテマリーンズ,投手,早坂　響,2005.07.26,176,70
千葉ロッテマリーンズ,投手,大聖,2002.01.29,178,98
千葉ロッテマリーンズ,投手,坂井　遼,2006.05.08,178,78
千葉ロッテマリーンズ,投手,廣池　康志郎,2002.09.16,185,85
千葉ロッテマリーンズ,投手,宮﨑　颯,2000.06.14,180,93
千葉ロッテマリーンズ,投手,ロング,1995.07.08,185,83
千葉ロッテマリーンズ,投手,吉川　悠斗,2005.03.14,185,92
千葉ロッテマリーンズ,捕手,松川　虎生,2003.10.20,178,98
千葉ロッテマリーンズ,捕手,田村　龍弘,1994.05.13,172,81
千葉ロッテマリーンズ,捕手,佐藤　都志也,1998.01.27,181,91
千葉ロッテマリーンズ,捕手,植田　将太,1997.12.18,180,86
千葉ロッテマリーンズ,捕手,寺地　隆成,2005.08.19,177,82
千葉ロッテマリーンズ,捕手,岡村　了樹,2007.05.03,172,77
千葉ロッテマリーンズ,内野手,池田　来翔,1999.12.11,180,95
千葉ロッテマリーンズ,内野手,友杉　篤輝,2000.11.07,171,70
千葉ロッテマリーンズ,内野手,安田　尚憲,1999.04.15,188,100
千葉ロッテマリーンズ,内野手,藤岡　裕大,1993.08.08,178,86
千葉ロッテマリーンズ,内野手,中村　奨吾,1992.05.28,180,86
千葉ロッテマリーンズ,内野手,上田　希由翔,2001.08.12,183,96
千葉ロッテマリーンズ,内野手,石垣　勝海,1998.09.21,181,88
千葉ロッテマリーンズ,内野手,宮崎　竜成,2000.12.09,173,90
千葉ロッテマリーンズ,内野手,立松　由宇,1999.02.05,177,82
千葉ロッテマリーンズ,内野手,櫻井　ユウヤ,2007.06.30,180,90
千葉ロッテマリーンズ,内野手,小川　龍成,1998.04.05,171,74
千葉ロッテマリーンズ,内野手,茶谷　健太,1998.01.16,186,88
千葉ロッテマリーンズ,内野手,ソト,1989.02.28,185,97
千葉ロッテマリーンズ,外野手,髙部　瑛斗,1997.12.11,178,72
千葉ロッテマリーンズ,外野手,藤原　恭大,2000.05.06,181,80
千葉ロッテマリーンズ,外野手,角中　勝也,1987.05.25,180,85
千葉ロッテマリーンズ,外野手,西川　史礁,2003.03.25,182,88
千葉ロッテマリーンズ,外野手,ポランコ,1991.09.14,196,108
千葉ロッテマリーンズ,外野手,石川　慎吾,1993.04.27,178,80
千葉ロッテマリーンズ,外野手,岡　大海,1991.07.15,185,80
千葉ロッテマリーンズ,外野手,井上　広大,2001.08.12,189,100
千葉ロッテマリーンズ,外野手,愛斗,1997.04.06,177,92
千葉ロッテマリーンズ,外野手,山口　航輝,2000.08.18,183,100
千葉ロッテマリーンズ,外野手,山本　大斗,2002.08.09,180,88
千葉ロッテマリーンズ,外野手,和田　康士朗,1999.01.14,185,77
福岡ソフトバンクホークス,監督,小久保　裕紀,1971.10.08,,
福岡ソフトバンクホークス,投手,スチュワート・ジュニア,1999.11.02,198,101
福岡ソフトバンクホークス,投手,上沢　直之,1994.02.06,188,89
福岡ソフトバンクホークス,投手,津森　宥紀,1998.01.21,176,86
福岡ソフトバンクホークス,投手,稲川　竜汰,2004.02.25,184,90
福岡ソフトバンクホークス,投手,東浜　巨,1990.06.20,182,81
福岡ソフトバンクホークス,投手,徐　若熙,2000.11.01,180,76
福岡ソフトバンクホークス,投手,大津　亮介,1999.01.13,175,67
福岡ソフトバンクホークス,投手,村上　泰斗,2007.02.20,179,76
福岡ソフトバンクホークス,投手,藤原　大翔,2005.12.26,177,73
福岡ソフトバンクホークス,投手,鈴木　豪太,2003.08.31,175,86
福岡ソフトバンクホークス,投手,岩井　俊介,2001.07.30,181,93
福岡ソフトバンクホークス,投手,安德　駿,2002.05.18,177,83
福岡ソフトバンクホークス,投手,大江　竜聖,1999.01.15,173,79
福岡ソフトバンクホークス,投手,中村　稔弥,1996.07.08,178,84
福岡ソフトバンクホークス,投手,モイネロ,1995.12.08,178,69
福岡ソフトバンクホークス,投手,尾形　崇斗,1999.05.15,182,90
福岡ソフトバンクホークス,投手,杉山　一樹,1997.12.07,192,106
福岡ソフトバンクホークス,投手,前田　悠伍,2005.08.04,180,86
福岡ソフトバンクホークス,投手,伊藤　優輔,1997.01.14,179,78
福岡ソフトバンクホークス,投手,大関　友久,1997.12.14,185,84
福岡ソフトバンクホークス,投手,藤井　皓哉,1996.07.29,183,87
福岡ソフトバンクホークス,投手,松本　晴,2001.02.24,181,90
福岡ソフトバンクホークス,投手,相良　雅斗,2003.09.24,182,73
福岡ソフトバンクホークス,投手,前田　純,2000.06.04,189,96
福岡ソフトバンクホークス,投手,大山　凌,2002.03.27,179,82
福岡ソフトバンクホークス,投手,オスナ,1995.02.07,188,104
福岡ソフトバンクホークス,投手,木村　大成,2003.09.12,180,83
福岡ソフトバンクホークス,投手,大竹　風雅,1999.08.22,186,90
福岡ソフトバンクホークス,投手,大野　稼頭央,2004.08.06,176,68
福岡ソフトバンクホークス,投手,ヘルナンデス,1996.12.17,188,115
福岡ソフトバンクホークス,投手,上茶谷　大河,1996.08.31,181,89
福岡ソフトバンクホークス,投手,松本　裕樹,1996.04.14,182,84
福岡ソフトバンクホークス,投手,木村　光,2000.07.02,173,77
福岡ソフトバンクホークス,投手,岩崎　峻典,2003.03.11,177,85
福岡ソフトバンクホークス,捕手,渡邉　陸,2000.09.24,187,88
福岡ソフトバンクホークス,捕手,嶺井　博希,1991.06.04,176,87
福岡ソフトバンクホークス,捕手,山本　祐大,1998.09.11,180,87
福岡ソフトバンクホークス,捕手,谷川原　健太,1997.04.16,174,89
福岡ソフトバンクホークス,捕手,石塚　綜一郎,2001.06.07,182,92
福岡ソフトバンクホークス,捕手,海野　隆司,1997.07.15,174,84
福岡ソフトバンクホークス,捕手,藤田　悠太郎,2005.06.03,170,78
福岡ソフトバンクホークス,内野手,川瀬　晃,1997.09.15,176,73
福岡ソフトバンクホークス,内野手,ダウンズ,1998.07.27,178,89
福岡ソフトバンクホークス,内野手,山川　穂高,1991.11.23,176,112
福岡ソフトバンクホークス,内野手,今宮　健太,1991.07.15,172,76
福岡ソフトバンクホークス,内野手,中村　晃,1989.11.05,175,81
福岡ソフトバンクホークス,内野手,牧原　大成,1992.10.15,172,74
福岡ソフトバンクホークス,内野手,栗原　陵矢,1996.07.04,178,84
福岡ソフトバンクホークス,内野手,庄子　雄大,2002.10.02,176,74
福岡ソフトバンクホークス,内野手,廣瀨　隆太,2001.04.07,181,88
福岡ソフトバンクホークス,内野手,イヒネ　イツア,2004.09.02,186,83
福岡ソフトバンクホークス,内野手,井上　朋也,2003.01.28,182,91
福岡ソフトバンクホークス,内野手,宇野　真仁朗,2006.07.05,178,85
福岡ソフトバンクホークス,内野手,秋広　優人,2002.09.17,201,107
福岡ソフトバンクホークス,内野手,髙橋　隆慶,2001.12.21,186,93
福岡ソフトバンクホークス,内野手,石見　颯真,2006.06.10,176,75
福岡ソフトバンクホークス,内野手,野村　勇,1996.12.01,174,84
福岡ソフトバンクホークス,外野手,近藤　健介,1993.08.09,171,87
福岡ソフトバンクホークス,外野手,柳田　悠岐,1988.10.09,187,91
福岡ソフトバンクホークス,外野手,周東　佑京,1996.02.10,180,74
福岡ソフトバンクホークス,外野手,正木　智也,1999.11.05,182,89
福岡ソフトバンクホークス,外野手,柳町　達,1997.04.20,180,78
福岡ソフトバンクホークス,外野手,笹川　吉康,2002.05.31,194,96
福岡ソフトバンクホークス,外野手,緒方　理貢,1998.09.22,175,71
福岡ソフトバンクホークス,外野手,川村　友斗,1999.08.13,182,90
福岡ソフトバンクホークス,外野手,山本　恵大,1999.08.06,182,89
東北楽天ゴールデンイーグルス,監督,三木　肇,1977.04.25,,
東北楽天ゴールデンイーグルス,投手,岸　孝之,1984.12.04,180,77
東北楽天ゴールデンイーグルス,投手,藤原　聡大,2003.11.20,178,73
東北楽天ゴールデンイーグルス,投手,コントレラス,1999.11.07,185,92
東北楽天ゴールデンイーグルス,投手,古謝　樹,2001.08.18,182,75
東北楽天ゴールデンイーグルス,投手,前田　健太,1988.04.11,185,83
東北楽天ゴールデンイーグルス,投手,荘司　康誠,2000.10.13,189,86
東北楽天ゴールデンイーグルス,投手,伊藤　樹,2003.08.24,177,85
東北楽天ゴールデンイーグルス,投手,早川　隆久,1998.07.06,180,76
東北楽天ゴールデンイーグルス,投手,ウレーニャ,1991.09.12,188,94
東北楽天ゴールデンイーグルス,投手,中込　陽翔,2002.01.23,175,85
東北楽天ゴールデンイーグルス,投手,酒居　知史,1993.01.02,178,80
東北楽天ゴールデンイーグルス,投手,田中　千晴,2000.09.21,189,85
東北楽天ゴールデンイーグルス,投手,渡辺　翔太,2000.10.29,182,90
東北楽天ゴールデンイーグルス,投手,江原　雅裕,2000.08.03,186,93
東北楽天ゴールデンイーグルス,投手,加治屋　蓮,1991.11.25,185,90
東北楽天ゴールデンイーグルス,投手,宋　家豪,1992.09.06,185,92
東北楽天ゴールデンイーグルス,投手,九谷　瑠,1999.11.05,177,80
東北楽天ゴールデンイーグルス,投手,藤平　尚真,1998.09.21,185,85
東北楽天ゴールデンイーグルス,投手,藤井　聖,1996.10.03,176,80
東北楽天ゴールデンイーグルス,投手,西垣　雅矢,1999.06.21,184,88
東北楽天ゴールデンイーグルス,投手,津留﨑　大成,1997.10.10,177,86
東北楽天ゴールデンイーグルス,投手,坂井　陽翔,2005.04.05,186,88
東北楽天ゴールデンイーグルス,投手,日當　直喜,2005.07.06,190,105
東北楽天ゴールデンイーグルス,投手,鈴木　翔天,1996.08.19,185,82
東北楽天ゴールデンイーグルス,投手,瀧中　瞭太,1994.12.20,180,93
東北楽天ゴールデンイーグルス,投手,辛島　航,1990.10.18,173,72
東北楽天ゴールデンイーグルス,投手,泰　勝利,2003.11.11,172,82
東北楽天ゴールデンイーグルス,投手,古賀　康誠,2004.09.03,181,81
東北楽天ゴールデンイーグルス,投手,西口　直人,1996.11.14,183,83
東北楽天ゴールデンイーグルス,投手,林　優樹,2001.10.29,173,73
東北楽天ゴールデンイーグルス,投手,今野　龍太,1995.05.11,178,86
東北楽天ゴールデンイーグルス,投手,大内　誠弥,2006.03.09,191,77
東北楽天ゴールデンイーグルス,投手,内　星龍,2002.04.24,190,88
東北楽天ゴールデンイーグルス,投手,柴田　大地,1997.11.07,180,94
東北楽天ゴールデンイーグルス,投手,伊藤　大晟,2007.10.27,174,76
東北楽天ゴールデンイーグルス,捕手,太田　光,1996.10.14,178,76
東北楽天ゴールデンイーグルス,捕手,伊藤　光,1989.04.23,180,88
東北楽天ゴールデンイーグルス,捕手,田中　貴也,1992.08.27,178,85
東北楽天ゴールデンイーグルス,捕手,YG安田,2000.03.03,185,105
東北楽天ゴールデンイーグルス,捕手,堀内　謙伍,1997.04.15,174,82
東北楽天ゴールデンイーグルス,捕手,石原　彪,1999.03.08,172,96
東北楽天ゴールデンイーグルス,捕手,大栄　利哉,2007.04.23,178,85
東北楽天ゴールデンイーグルス,内野手,小深田　大翔,1995.09.28,168,69
東北楽天ゴールデンイーグルス,内野手,宗山　塁,2003.02.27,175,79
東北楽天ゴールデンイーグルス,内野手,浅村　栄斗,1990.11.12,182,90
東北楽天ゴールデンイーグルス,内野手,村林　一輝,1997.10.06,180,73
東北楽天ゴールデンイーグルス,内野手,鈴木　大地,1989.08.18,175,79
東北楽天ゴールデンイーグルス,内野手,ボイト,1991.02.13,188,117
東北楽天ゴールデンイーグルス,内野手,黒川　史陽,2001.04.17,182,86
東北楽天ゴールデンイーグルス,内野手,繁永　晟,2003.04.25,174,88
東北楽天ゴールデンイーグルス,内野手,渡邊　佳明,1997.01.08,180,79
東北楽天ゴールデンイーグルス,内野手,伊藤　裕季也,1996.08.30,181,95
東北楽天ゴールデンイーグルス,内野手,平良　竜哉,1998.07.09,170,78
東北楽天ゴールデンイーグルス,内野手,ワォーターズ,2005.10.14,178,76
東北楽天ゴールデンイーグルス,内野手,入江　大樹,2002.06.06,185,83
東北楽天ゴールデンイーグルス,内野手,青野　拓海,2005.07.26,180,85
東北楽天ゴールデンイーグルス,内野手,小森　航大郎,2003.04.30,173,83
東北楽天ゴールデンイーグルス,内野手,陽　柏翔,2005.01.23,174,75
東北楽天ゴールデンイーグルス,外野手,辰己　涼介,1996.12.27,180,74
東北楽天ゴールデンイーグルス,外野手,ゴンザレス,1998.01.10,196,108
東北楽天ゴールデンイーグルス,外野手,田中　和基,1994.08.08,181,75
東北楽天ゴールデンイーグルス,外野手,中島　大輔,2001.06.04,180,78
東北楽天ゴールデンイーグルス,外野手,マッカスカー,1998.05.22,203,113
東北楽天ゴールデンイーグルス,外野手,吉納　翼,2002.08.16,180,89
東北楽天ゴールデンイーグルス,外野手,佐藤　直樹,1998.09.03,178,85
東北楽天ゴールデンイーグルス,外野手,阪上　翔也,2003.11.01,180,90
東北楽天ゴールデンイーグルス,外野手,武藤　敦貴,2001.06.15,178,73
東北楽天ゴールデンイーグルス,外野手,小郷　裕哉,1996.08.03,178,85
東北楽天ゴールデンイーグルス,外野手,吉野　創士,2003.10.27,186,78
埼玉西武ライオンズ,監督,西口　文也,1972.09.26,,
埼玉西武ライオンズ,投手,上田　大河,2001.11.15,183,88
埼玉西武ライオンズ,投手,渡邉　勇太朗,2000.09.21,191,103
埼玉西武ライオンズ,投手,髙橋　光成,1997.02.03,190,105
埼玉西武ライオンズ,投手,與座　海人,1995.09.15,173,80
埼玉西武ライオンズ,投手,隅田　知一郎,1999.08.20,177,84
埼玉西武ライオンズ,投手,松本　航,1996.11.28,176,88
埼玉西武ライオンズ,投手,佐藤　隼輔,2000.01.03,182,86
埼玉西武ライオンズ,投手,岩城　颯空,2003.09.17,181,95
埼玉西武ライオンズ,投手,武内　夏暉,2001.07.21,186,96
埼玉西武ライオンズ,投手,糸川　亮太,1998.04.30,172,80
埼玉西武ライオンズ,投手,青山　美夏人,2000.07.19,184,94
埼玉西武ライオンズ,投手,ワイナンス,1995.08.10,188,81
埼玉西武ライオンズ,投手,甲斐野　央,1996.11.16,188,98
埼玉西武ライオンズ,投手,山田　陽翔,2004.05.09,176,85
埼玉西武ライオンズ,投手,堀越　啓太,2003.07.15,185,96
埼玉西武ライオンズ,投手,成田　晴風,2006.02.27,184,91
埼玉西武ライオンズ,投手,ボー・タカハシ,1997.01.23,185,95
埼玉西武ライオンズ,投手,羽田　慎之介,2003.12.25,191,94
埼玉西武ライオンズ,投手,ウィンゲンター,1994.04.15,201,107
埼玉西武ライオンズ,投手,狩生　聖真,2006.12.25,184,79
埼玉西武ライオンズ,投手,杉山　遙希,2005.09.23,181,83
埼玉西武ライオンズ,投手,篠原　響,2006.09.20,178,81
埼玉西武ライオンズ,投手,黒木　優太,1994.08.16,180,87
埼玉西武ライオンズ,投手,Ｅ．ラミレス,1994.07.15,188,86
埼玉西武ライオンズ,投手,黒田　将矢,2004.01.24,188,88
埼玉西武ライオンズ,投手,中村　祐太,1995.08.31,183,90
埼玉西武ライオンズ,投手,平良　海馬,1999.11.15,173,99
埼玉西武ライオンズ,投手,冨士　大和,2006.08.26,186,80
埼玉西武ライオンズ,投手,豆田　泰志,2003.01.15,173,88
埼玉西武ライオンズ,投手,菅井　信也,2003.06.28,183,84
埼玉西武ライオンズ,投手,佐藤　爽,2003.02.09,178,82
埼玉西武ライオンズ,投手,浜屋　将太,1999.01.26,176,79
埼玉西武ライオンズ,捕手,小島　大河,2003.10.27,178,83
埼玉西武ライオンズ,捕手,古賀　悠斗,1999.09.10,174,88
埼玉西武ライオンズ,捕手,炭谷　銀仁朗,1987.07.19,181,98
埼玉西武ライオンズ,捕手,柘植　世那,1997.06.03,174,90
埼玉西武ライオンズ,捕手,牧野　翔矢,2001.03.04,178,80
埼玉西武ライオンズ,捕手,龍山　暖,2006.05.13,176,80
埼玉西武ライオンズ,内野手,仲田　慶介,1999.07.25,175,80
埼玉西武ライオンズ,内野手,児玉　亮涼,1998.07.10,166,68
埼玉西武ライオンズ,内野手,齋藤　大翔,2007.01.27,181,76
埼玉西武ライオンズ,内野手,石井　一成,1994.05.06,182,86
埼玉西武ライオンズ,内野手,外崎　修汰,1992.12.20,177,84
埼玉西武ライオンズ,内野手,源田　壮亮,1993.02.16,179,77
埼玉西武ライオンズ,内野手,ネビン,1997.05.29,193,102
埼玉西武ライオンズ,内野手,山村　崇嘉,2002.09.28,183,89
埼玉西武ライオンズ,内野手,佐藤　太陽,2002.05.19,177,82
埼玉西武ライオンズ,内野手,平沢　大河,1997.12.24,176,83
埼玉西武ライオンズ,内野手,髙松　渡,1999.07.02,177,75
埼玉西武ライオンズ,内野手,横田　蒼和,2007.10.24,180,87
埼玉西武ライオンズ,内野手,中村　剛也,1983.08.15,175,105
埼玉西武ライオンズ,内野手,滝澤　夏央,2003.08.13,164,65
埼玉西武ライオンズ,内野手,村田　怜音,2001.08.04,197,115
埼玉西武ライオンズ,外野手,栗山　巧,1983.09.03,177,85
埼玉西武ライオンズ,外野手,桑原　将志,1993.07.21,174,80
埼玉西武ライオンズ,外野手,渡部　聖弥,2002.08.31,177,90
埼玉西武ライオンズ,外野手,蛭間　拓哉,2000.09.08,177,87
埼玉西武ライオンズ,外野手,カナリオ,2000.05.07,185,97
埼玉西武ライオンズ,外野手,茶野　篤政,1999.08.04,175,80
埼玉西武ライオンズ,外野手,古川　雄大,2004.05.25,185,90
埼玉西武ライオンズ,外野手,秋山　俊,2003.04.20,180,88
埼玉西武ライオンズ,外野手,林　冠臣,2002.12.30,196,108
埼玉西武ライオンズ,外野手,西川　愛也,1999.06.10,181,90
埼玉西武ライオンズ,外野手,仲三　優太,2002.10.22,180,100
埼玉西武ライオンズ,外野手,長谷川　信哉,2002.05.17,183,90
埼玉西武ライオンズ,外野手,川田　悠慎,2002.02.20,174,70
埼玉西武ライオンズ,外野手,岸　潤一郎,1996.12.08,174,85
埼玉西武ライオンズ,外野手,林　安可,1997.05.19,184,90
北海道日本ハムファイターズ,監督,新庄　剛志,1972.01.28,,
北海道日本ハムファイターズ,投手,矢澤　宏太,2000.08.02,173,72
北海道日本ハムファイターズ,投手,生田目　翼,1995.02.19,176,95
北海道日本ハムファイターズ,投手,加藤　貴之,1992.06.03,182,93
北海道日本ハムファイターズ,投手,北山　亘基,1999.04.10,182,87
北海道日本ハムファイターズ,投手,達　孝太,2004.03.27,194,101
北海道日本ハムファイターズ,投手,伊藤　大海,1997.08.31,176,85
北海道日本ハムファイターズ,投手,山﨑　福也,1992.09.09,188,99
北海道日本ハムファイターズ,投手,玉井　大翔,1992.06.16,178,80
北海道日本ハムファイターズ,投手,上原　健太,1994.03.29,191,100
北海道日本ハムファイターズ,投手,杉浦　稔大,1992.02.25,190,90
北海道日本ハムファイターズ,投手,金村　尚真,2000.08.29,176,89
北海道日本ハムファイターズ,投手,宮西　尚生,1985.06.02,180,81
北海道日本ハムファイターズ,投手,田中　正義,1994.07.19,188,96
北海道日本ハムファイターズ,投手,大川　慈英,2003.10.28,178,70
北海道日本ハムファイターズ,投手,河野　竜生,1998.05.30,175,92
北海道日本ハムファイターズ,投手,細野　晴希,2002.02.26,180,88
北海道日本ハムファイターズ,投手,ラオ,1999.08.14,188,82
北海道日本ハムファイターズ,投手,柴田　獅子,2006.04.18,187,95
北海道日本ハムファイターズ,投手,藤田　琉生,2006.11.17,198,107
北海道日本ハムファイターズ,投手,堀　瑞輝,1998.05.10,177,91
北海道日本ハムファイターズ,投手,浅利　太門,2002.09.06,186,92
北海道日本ハムファイターズ,投手,古林　睿煬,2000.06.12,184,100
北海道日本ハムファイターズ,投手,島本　浩也,1993.02.14,176,73
北海道日本ハムファイターズ,投手,福谷　浩司,1991.01.09,183,98
北海道日本ハムファイターズ,投手,福島　蓮,2003.04.25,190,81
北海道日本ハムファイターズ,投手,畔柳　亨丞,2003.05.03,178,92
北海道日本ハムファイターズ,投手,柳川　大晟,2003.08.21,191,96
北海道日本ハムファイターズ,投手,齋藤　友貴哉,1995.01.05,184,92
北海道日本ハムファイターズ,投手,池田　隆英,1994.10.01,181,93
北海道日本ハムファイターズ,投手,菊地　大稀,1999.06.02,186,97
北海道日本ハムファイターズ,投手,清水　大暉,2006.07.17,195,105
北海道日本ハムファイターズ,投手,山城　航太郎,2002.09.03,183,91
北海道日本ハムファイターズ,投手,山本　拓実,2000.01.31,167,84
北海道日本ハムファイターズ,投手,有原　航平,1992.08.11,190,100
北海道日本ハムファイターズ,投手,孫　易磊,2005.02.10,183,96
北海道日本ハムファイターズ,捕手,マルティネス,1996.05.28,190,112
北海道日本ハムファイターズ,捕手,郡司　裕也,1997.12.27,180,90
北海道日本ハムファイターズ,捕手,清水　優心,1996.05.22,185,91
北海道日本ハムファイターズ,捕手,進藤　勇也,2002.03.10,182,95
北海道日本ハムファイターズ,捕手,リン,1997.06.26,185,94
北海道日本ハムファイターズ,捕手,藤森　海斗,2007.06.27,182,73
北海道日本ハムファイターズ,捕手,吉田　賢吾,2001.01.18,181,94
北海道日本ハムファイターズ,捕手,田宮　裕涼,2000.06.13,175,84
北海道日本ハムファイターズ,捕手,梅林　優貴,1998.03.14,171,85
北海道日本ハムファイターズ,内野手,上川畑　大悟,1997.01.12,167,73
北海道日本ハムファイターズ,内野手,野村　佑希,2000.06.26,187,95
北海道日本ハムファイターズ,内野手,カストロ,1999.03.21,183,92
北海道日本ハムファイターズ,内野手,中島　卓也,1991.01.11,178,77
北海道日本ハムファイターズ,内野手,清宮　幸太郎,1999.05.25,184,95
北海道日本ハムファイターズ,内野手,有薗　直輝,2003.05.21,185,104
北海道日本ハムファイターズ,内野手,水野　達稀,2000.07.30,171,80
北海道日本ハムファイターズ,内野手,阪口　樂,2003.06.24,187,99
北海道日本ハムファイターズ,内野手,大塚　瑠晏,2003.10.26,169,69
北海道日本ハムファイターズ,内野手,半田　南十,2007.05.10,176,73
北海道日本ハムファイターズ,内野手,山縣　秀,2002.05.01,176,82
北海道日本ハムファイターズ,内野手,細川　凌平,2002.04.25,174,81
北海道日本ハムファイターズ,内野手,奈良間　大己,2000.05.08,172,75
